"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"Parashat Tazria-Metzora","29/4/2017",,,,"true","","3","Jewish Holidays"
"Yom HaZikaron","1/5/2017",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","2/5/2017",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Parashat Achrei Mot-Kedoshim","6/5/2017",,,,"true","","3","Jewish Holidays"
"Pesach Sheni","10/5/2017",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Parashat Emor","13/5/2017",,,,"true","","3","Jewish Holidays"
"Lag B'Omer","14/5/2017",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Parashat Behar-Bechukotai","20/5/2017",,,,"true","","3","Jewish Holidays"
"Yom Yerushalayim","24/5/2017",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","26/5/2017",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Parashat Bamidbar","27/5/2017",,,,"true","","3","Jewish Holidays"
"Erev Shavuot","30/5/2017",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","31/5/2017",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","1/6/2017",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Parashat Nasso","3/6/2017",,,,"true","","3","Jewish Holidays"
"Parashat Beha'alotcha","10/6/2017",,,,"true","","3","Jewish Holidays"
"Parashat Sh'lach","17/6/2017",,,,"true","","3","Jewish Holidays"
"Parashat Korach","24/6/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Tamuz","24/6/2017",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","25/6/2017",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Parashat Chukat","1/7/2017",,,,"true","","3","Jewish Holidays"
"Parashat Balak","8/7/2017",,,,"true","","3","Jewish Holidays"
"Tzom Tammuz","11/7/2017",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Parashat Pinchas","15/7/2017",,,,"true","","3","Jewish Holidays"
"Parashat Matot-Masei","22/7/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Av","24/7/2017",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Parashat Devarim","29/7/2017",,,,"true","","3","Jewish Holidays"
"Shabbat Chazon","29/7/2017",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","31/7/2017",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","1/8/2017",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Parashat Vaetchanan","5/8/2017",,,,"true","","3","Jewish Holidays"
"Shabbat Nachamu","5/8/2017",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Parashat Eikev","12/8/2017",,,,"true","","3","Jewish Holidays"
"Parashat Re'eh","19/8/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Elul","22/8/2017",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","23/8/2017",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Parashat Shoftim","26/8/2017",,,,"true","","3","Jewish Holidays"
"Parashat Ki Teitzei","2/9/2017",,,,"true","","3","Jewish Holidays"
"Parashat Ki Tavo","9/9/2017",,,,"true","","3","Jewish Holidays"
"Parashat Nitzavim-Vayeilech","16/9/2017",,,,"true","","3","Jewish Holidays"
"Leil Selichot","16/9/2017",,,,"true","Prayers for forgivenes in preparation for the High Holidays","3","Jewish Holidays"
"Erev Rosh Hashana","20/9/2017",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5778","21/9/2017",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","22/9/2017",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Parashat Ha'Azinu","23/9/2017",,,,"true","","3","Jewish Holidays"
"Shabbat Shuva","23/9/2017",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Tzom Gedaliah","24/9/2017",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Erev Yom Kippur","29/9/2017",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","30/9/2017",,,,"true","Day of Atonement","4","Jewish Holidays"
"Erev Sukkot","4/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","5/10/2017",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","6/10/2017",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","7/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","8/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","9/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","10/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","11/10/2017",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","12/10/2017",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","13/10/2017",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Parashat Bereshit","14/10/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","20/10/2017",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Parashat Noach","21/10/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","21/10/2017",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Parashat Lech-Lecha","28/10/2017",,,,"true","","3","Jewish Holidays"
"Parashat Vayera","4/11/2017",,,,"true","","3","Jewish Holidays"
"Parashat Chayei Sara","11/11/2017",,,,"true","","3","Jewish Holidays"
"Parashat Toldot","18/11/2017",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Kislev","19/11/2017",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Parashat Vayetzei","25/11/2017",,,,"true","","3","Jewish Holidays"
"Parashat Vayishlach","2/12/2017",,,,"true","","3","Jewish Holidays"
"Parashat Vayeshev","9/12/2017",,,,"true","","3","Jewish Holidays"
"Chanukah: 1 Candle","12/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","13/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","14/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","15/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Miketz","16/12/2017",,,,"true","","3","Jewish Holidays"
"Chanukah: 5 Candles","16/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","17/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","18/12/2017",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","18/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","19/12/2017",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","19/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","20/12/2017",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Vayigash","23/12/2017",,,,"true","","3","Jewish Holidays"
"Asara B'Tevet","28/12/2017",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Parashat Vayechi","30/12/2017",,,,"true","","3","Jewish Holidays"
"Parashat Shemot","6/1/2018",,,,"true","","3","Jewish Holidays"
"Parashat Vaera","13/1/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Sh'vat","17/1/2018",,,,"true","Beginning of new Hebrew month of Sh'vat","3","Jewish Holidays"
"Parashat Bo","20/1/2018",,,,"true","","3","Jewish Holidays"
"Parashat Beshalach","27/1/2018",,,,"true","","3","Jewish Holidays"
"Tu BiShvat","31/1/2018",,,,"true","New Year for Trees","3","Jewish Holidays"
"Parashat Yitro","3/2/2018",,,,"true","","3","Jewish Holidays"
"Parashat Mishpatim","10/2/2018",,,,"true","","3","Jewish Holidays"
"Shabbat Shekalim","10/2/2018",,,,"true","Shabbat before Rosh Chodesh Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","15/2/2018",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Rosh Chodesh Adar","16/2/2018",,,,"true","Beginning of new Hebrew month of Adar","3","Jewish Holidays"
"Parashat Terumah","17/2/2018",,,,"true","","3","Jewish Holidays"
"Parashat Tetzaveh","24/2/2018",,,,"true","","3","Jewish Holidays"
"Shabbat Zachor","24/2/2018",,,,"true","Shabbat before Purim","3","Jewish Holidays"
"Ta'anit Esther","28/2/2018",,,,"true","Fast of Esther","3","Jewish Holidays"
"Erev Purim","28/2/2018",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Purim","1/3/2018",,,,"true","Purim is one of the most joyous and fun holidays on the Jewish calendar","3","Jewish Holidays"
"Shushan Purim","2/3/2018",,,,"true","Purim celebrated in Jerusalem and walled cities","3","Jewish Holidays"
"Parashat Ki Tisa","3/3/2018",,,,"true","","3","Jewish Holidays"
"Parashat Vayakhel-Pekudei","10/3/2018",,,,"true","","3","Jewish Holidays"
"Shabbat Parah","10/3/2018",,,,"true","Shabbat of the Red Heifer","3","Jewish Holidays"
"Parashat Vayikra","17/3/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Nisan","17/3/2018",,,,"true","Beginning of new Hebrew month of Nisan","3","Jewish Holidays"
"Shabbat HaChodesh","17/3/2018",,,,"true","Shabbat before Rosh Chodesh Nissan","3","Jewish Holidays"
"Parashat Tzav","24/3/2018",,,,"true","","3","Jewish Holidays"
"Shabbat HaGadol","24/3/2018",,,,"true","Shabbat before Pesach","3","Jewish Holidays"
"Ta'anit Bechorot","30/3/2018",,,,"true","Fast of the First Born","3","Jewish Holidays"
"Erev Pesach","30/3/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach I","31/3/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach II","1/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach III (CH''M)","2/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach IV (CH''M)","3/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach V (CH''M)","4/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VI (CH''M)","5/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","3","Jewish Holidays"
"Pesach VII","6/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Pesach VIII","7/4/2018",,,,"true","Passover; the Feast of Unleavened Bread","4","Jewish Holidays"
"Yom HaShoah","12/4/2018",,,,"true","Holocaust Memorial Day","3","Jewish Holidays"
"Parashat Shmini","14/4/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Iyyar","15/4/2018",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Rosh Chodesh Iyyar","16/4/2018",,,,"true","Beginning of new Hebrew month of Iyyar","3","Jewish Holidays"
"Yom HaZikaron","18/4/2018",,,,"true","Israeli Memorial Day","3","Jewish Holidays"
"Yom HaAtzma'ut","19/4/2018",,,,"true","Israeli Independence Day","3","Jewish Holidays"
"Parashat Tazria-Metzora","21/4/2018",,,,"true","","3","Jewish Holidays"
"Parashat Achrei Mot-Kedoshim","28/4/2018",,,,"true","","3","Jewish Holidays"
"Pesach Sheni","29/4/2018",,,,"true","Second Passover; one month after Passover","3","Jewish Holidays"
"Lag B'Omer","3/5/2018",,,,"true","33rd day of counting the Omer","3","Jewish Holidays"
"Parashat Emor","5/5/2018",,,,"true","","3","Jewish Holidays"
"Parashat Behar-Bechukotai","12/5/2018",,,,"true","","3","Jewish Holidays"
"Yom Yerushalayim","13/5/2018",,,,"true","Jerusalem Day","3","Jewish Holidays"
"Rosh Chodesh Sivan","15/5/2018",,,,"true","Beginning of new Hebrew month of Sivan","3","Jewish Holidays"
"Parashat Bamidbar","19/5/2018",,,,"true","","3","Jewish Holidays"
"Erev Shavuot","19/5/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","3","Jewish Holidays"
"Shavuot I","20/5/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Shavuot II","21/5/2018",,,,"true","Festival of Weeks; commemorates the giving of the Torah at Mount Sinai","4","Jewish Holidays"
"Parashat Nasso","26/5/2018",,,,"true","","3","Jewish Holidays"
"Parashat Beha'alotcha","2/6/2018",,,,"true","","3","Jewish Holidays"
"Parashat Sh'lach","9/6/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Tamuz","13/6/2018",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Rosh Chodesh Tamuz","14/6/2018",,,,"true","Beginning of new Hebrew month of Tamuz","3","Jewish Holidays"
"Parashat Korach","16/6/2018",,,,"true","","3","Jewish Holidays"
"Parashat Chukat","23/6/2018",,,,"true","","3","Jewish Holidays"
"Parashat Balak","30/6/2018",,,,"true","","3","Jewish Holidays"
"Tzom Tammuz","1/7/2018",,,,"true","Fast commemorating breaching of the walls of Jerusalem by Nebuchadnezzar","3","Jewish Holidays"
"Parashat Pinchas","7/7/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Av","13/7/2018",,,,"true","Beginning of new Hebrew month of Av","3","Jewish Holidays"
"Parashat Matot-Masei","14/7/2018",,,,"true","","3","Jewish Holidays"
"Parashat Devarim","21/7/2018",,,,"true","","3","Jewish Holidays"
"Shabbat Chazon","21/7/2018",,,,"true","Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision)","3","Jewish Holidays"
"Erev Tish'a B'Av","21/7/2018",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Tish'a B'Av","22/7/2018",,,,"true","The Ninth of Av; fast commemorating the destruction of the two Temples","3","Jewish Holidays"
"Parashat Vaetchanan","28/7/2018",,,,"true","","3","Jewish Holidays"
"Shabbat Nachamu","28/7/2018",,,,"true","Shabbat after Tish'a B'Av (Shabbat of Consolation)","3","Jewish Holidays"
"Parashat Eikev","4/8/2018",,,,"true","","3","Jewish Holidays"
"Parashat Re'eh","11/8/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Elul","11/8/2018",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Rosh Chodesh Elul","12/8/2018",,,,"true","Beginning of new Hebrew month of Elul","3","Jewish Holidays"
"Parashat Shoftim","18/8/2018",,,,"true","","3","Jewish Holidays"
"Parashat Ki Teitzei","25/8/2018",,,,"true","","3","Jewish Holidays"
"Parashat Ki Tavo","1/9/2018",,,,"true","","3","Jewish Holidays"
"Leil Selichot","1/9/2018",,,,"true","Prayers for forgivenes in preparation for the High Holidays","3","Jewish Holidays"
"Parashat Nitzavim","8/9/2018",,,,"true","","3","Jewish Holidays"
"Erev Rosh Hashana","9/9/2018",,,,"true","The Jewish New Year","3","Jewish Holidays"
"Rosh Hashana 5779","10/9/2018",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Rosh Hashana II","11/9/2018",,,,"true","The Jewish New Year","4","Jewish Holidays"
"Tzom Gedaliah","12/9/2018",,,,"true","Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah","3","Jewish Holidays"
"Parashat Vayeilech","15/9/2018",,,,"true","","3","Jewish Holidays"
"Shabbat Shuva","15/9/2018",,,,"true","Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning)","3","Jewish Holidays"
"Erev Yom Kippur","18/9/2018",,,,"true","Day of Atonement","3","Jewish Holidays"
"Yom Kippur","19/9/2018",,,,"true","Day of Atonement","4","Jewish Holidays"
"Parashat Ha'Azinu","22/9/2018",,,,"true","","3","Jewish Holidays"
"Erev Sukkot","23/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot I","24/9/2018",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot II","25/9/2018",,,,"true","Feast of Tabernacles","4","Jewish Holidays"
"Sukkot III (CH''M)","26/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot IV (CH''M)","27/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot V (CH''M)","28/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VI (CH''M)","29/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Sukkot VII (Hoshana Raba)","30/9/2018",,,,"true","Feast of Tabernacles","3","Jewish Holidays"
"Shmini Atzeret","1/10/2018",,,,"true","Eighth Day of Assembly","4","Jewish Holidays"
"Simchat Torah","2/10/2018",,,,"true","Day of Celebrating the Torah","4","Jewish Holidays"
"Parashat Bereshit","6/10/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","9/10/2018",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Rosh Chodesh Cheshvan","10/10/2018",,,,"true","Beginning of new Hebrew month of Cheshvan","3","Jewish Holidays"
"Parashat Noach","13/10/2018",,,,"true","","3","Jewish Holidays"
"Parashat Lech-Lecha","20/10/2018",,,,"true","","3","Jewish Holidays"
"Parashat Vayera","27/10/2018",,,,"true","","3","Jewish Holidays"
"Parashat Chayei Sara","3/11/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Kislev","8/11/2018",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Rosh Chodesh Kislev","9/11/2018",,,,"true","Beginning of new Hebrew month of Kislev","3","Jewish Holidays"
"Parashat Toldot","10/11/2018",,,,"true","","3","Jewish Holidays"
"Parashat Vayetzei","17/11/2018",,,,"true","","3","Jewish Holidays"
"Parashat Vayishlach","24/11/2018",,,,"true","","3","Jewish Holidays"
"Parashat Vayeshev","1/12/2018",,,,"true","","3","Jewish Holidays"
"Chanukah: 1 Candle","2/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 2 Candles","3/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 3 Candles","4/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 4 Candles","5/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 5 Candles","6/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 6 Candles","7/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Miketz","8/12/2018",,,,"true","","3","Jewish Holidays"
"Rosh Chodesh Tevet","8/12/2018",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 7 Candles","8/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Rosh Chodesh Tevet","9/12/2018",,,,"true","Beginning of new Hebrew month of Tevet","3","Jewish Holidays"
"Chanukah: 8 Candles","9/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Chanukah: 8th Day","10/12/2018",,,,"true","The Jewish festival of rededication; also known as the Festival of Lights","3","Jewish Holidays"
"Parashat Vayigash","15/12/2018",,,,"true","","3","Jewish Holidays"
"Asara B'Tevet","18/12/2018",,,,"true","Fast commemorating the siege of Jerusalem","3","Jewish Holidays"
"Parashat Vayechi","22/12/2018",,,,"true","","3","Jewish Holidays"
"Parashat Shemot","29/12/2018",,,,"true","","3","Jewish Holidays"
